/* DATA DESCRIPTION:
Citation:	Tara Oceans Consortium, Coordinators; Tara Oceans Expedition, Participants (2014): Registry of selected samples from the Tara Oceans Expedition (2009-2013). PANGAEA, https://doi.org/10.1594/PANGAEA.840721
Replaced by:	Tara Oceans Consortium, Coordinators; Tara Oceans Expedition, Participants (2015): Environmental context of all samples from the Tara Oceans Expedition (2009-2013), about depth specific features. PANGAEA, https://doi.org/10.1594/PANGAEA.853810
Abstract:	The present data set is a registry of samples from the Tara Oceans Expedition (2009-2013) that were selected for publication in a special issue of the SCIENCE journal (see related references below). The registry provides details about the sampling location and methodology of each sample. Uniform resource locators (URLs) offer direct links to additional contextual environmental data and to the corresponding sequence runs used for analysis in the related literature publications in the SCIENCE journal.
Related to:	Brum, Jennifer R; Ignacio-Espinoza, Julio; Roux, Simon; Doulcier, Guilhem; Acinas, Silvia G; Alberti, Adriana; Chaffron, Samuel; Cruaud, Corinne; De Vargas, Colomban; Gasol, Josep M; Gorsky, G; Gregory, Ann C; Guidi, L; Hingamp, Pascal; Iudicone, Daniele; Not, Fabrice; Ogata, Hiroyuki; Pesant, Stephane; Poulos, Bonnie T; Schwenk, Sarah M; Speich, Sabrina; Dimier, Céline; Kandels-Lewis, Stefanie; Picheral, Marc; Searson, Sarah; Tara Oceans Consortium, Coordinators; Bork, Peer; Bowler, Chris; Sunagawa, Shinichi; Wincker, Patrick; Karsenti, Eric; Sullivan, Matthew B (2015): Patterns and ecological drivers of ocean viral communities. Science, 348(6237), 1261498-1261498, https://doi.org/10.1126/science.1261498
	De Vargas, Colomban; Audic, Stephane; Henry, Nicolas; Decelle, Johan; Mahe, Jean-Claude; Logares, Ramiro; Lara, Enrique; Berney, Cédric; Le Bescot, Noan; Probert, Ian; Carmichael, Margaux; Poulain, Julie; Romac, Sarah; Colin, Sébastien; Aury, Jean-Marc; Bittner, Lucie; Chaffron, Samuel; Dunthorn, Micah; Engelen, Stefan; Flegontova, Olga; Guidi, L; Horák, Aleš; Jaillon, Olivier; Lima-Mendez, Gipsi; Lukes, Julius; Malviya, Shruti; Morard, Raphael; Mulot, Matthieu; Scalco, Eleonora; Siano, Raffaele; Vincent, Flora; Zingone, Adriana; Dimier, Céline; Picheral, Marc; Searson, Sarah; Kandels-Lewis, Stefanie; Tara Oceans Consortium, Coordinators; Acinas, Silvia G; Bork, Peer; Bowler, Chris; Gorsky, G; Grimsley, Nigel; Hingamp, Pascal; Iudicone, Daniele; Not, Fabrice; Ogata, Hiroyuki; Pesant, Stephane; Raes, Jeroen; Sieracki, Michael E; Speich, Sabrina; Stemmann, Lars; Sunagawa, Shinichi; Weissenbach, Jean; Wincker, Patrick; Karsenti, Eric; Boss, Emmanuel; Follows, Michael J; Karp-Boss, Lee; Krzic, Uros; Sardet, Christian; Sullivan, Matthew B; Velayoudon, Didier (2015): Eukaryotic plankton diversity in the sunlit ocean. Science, 348(6237), 1261605-1261605, https://doi.org/10.1126/science.1261605
	Lima-Mendez, Gipsi; Faust, Karoline; Henry, Nicolas; Decelle, Johan; Colin, Sébastien; Carcillo, Fabrizio; Chaffron, Samuel; Ignacio-Espinosa, J Cesar; Roux, Simon; Vincent, Flora; Bittner, Lucie; Darzi, Youssef; Wang, Jun; Audic, Stephane; Berline, L; Bontempi, Gianluca; Cabello, Ana María; Coppola, L; Cornejo-Castillo, Francisco M; d'Ovidio, Francesco; De Meester, Luc; Ferrera, Isabel; Garet-Delmas, Marie-José; Guidi, L; Lara, Enrique; Pesant, Stephane; Royo-Llonch, Marta; Salazar, Guillem; Sánchez, Pablo; Sebastian, Marta; Souffreau, Caroline; Dimier, Céline; Picheral, Marc; Searson, Sarah; Kandels-Lewis, Stefanie; Tara Oceans Consortium, Coordinators; Gorsky, G; Not, Fabrice; Ogata, Hiroyuki; Speich, Sabrina; Stemmann, Lars; Weissenbach, Jean; Wincker, Patrick; Acinas, Silvia G; Sunagawa, Shinichi; Bork, Peer; Sullivan, Matthew B; Karsenti, Eric; Bowler, Chris; De Vargas, Colomban; Raes, Jeroen (2015): Determinants of community structure in the global plankton interactome. Science, 348(6237), 1262073-1262073, https://doi.org/10.1126/science.1262073
	Sunagawa, Shinichi; Coelho, Luis Pedro; Chaffron, Samuel; Kultima, Jens Roat; Labadie, Karine; Salazar, Guillem; Djahanschiri, Bardya; Zeller, George; Mende, Daniel R; Alberti, Adriana; Cornejo-Castillo, Francisco M; Costea, Paul I; Cruaud, Corinne; d'Ovidio, Francesco; Engelen, Stefan; Ferrera, Isabel; Gasol, Josep M; Guidi, L; Hildebrand, Falk; Kokoszka, Florian; Lepoivre, Cyrille; Lima-Mendez, Gipsi; Poulain, Julie; Poulos, Bonnie T; Royo-Llonch, Marta; Sarmento, Hugo; Vieira-Silva, Sara; Dimier, Céline; Picheral, Marc; Searson, Sarah; Kandels-Lewis, Stefanie; Tara Oceans Consortium, Coordinators; Bowler, Chris; De Vargas, Colomban; Gorsky, G; Grimsley, Nigel; Hingamp, Pascal; Iudicone, Daniele; Jaillon, Olivier; Not, Fabrice; Ogata, Hiroyuki; Pesant, Stephane; Speich, Sabrina; Stemmann, Lars; Sullivan, Matthew B; Weissenbach, Jean; Wincker, Patrick; Karsenti, Eric; Raes, Jeroen; Acinas, Silvia G; Bork, Peer; Boss, Emmanuel; Follows, Michael J; Karp-Boss, Lee; Krzic, Uros; Sardet, Christian; Sieracki, Michael E; Velayoudon, Didier (2015): Structure and function of the global ocean microbiome. Science, 348(6237), 1261359-1261359, https://doi.org/10.1126/science.1261359
	Villar, Emilie; Farrant, Gregory K; Follows, Michael J; Garczarek, Laurence; Speich, Sabrina; Audic, Stephane; Bittner, Lucie; Blanke, Bruno; Brum, Jennifer R; Brunet, Christian; Casotti, Raffaella; Chase, Alison P; Dolan, John; D'Ortenzio, Fabrizio; Gattuso, Jean-Pierre; Grima, Nicolas; Guidi, L; Hill, Christopher N; Jahn, Oliver; Jamet, Jean-Louis; Le Goff, Hervé; Lepoivre, Cyrille; Malviya, Shruti; Pelletier, Eric; Romagnan, Jean-Baptiste; Roux, Simon; Santini, Sébastien; Scalco, Eleonora; Schwenk, Sarah M; Tanaka, A; Testor, Pierre; Vannier, Thomas; Vincent, Flora; Zingone, Adriana; Dimier, Céline; Picheral, Marc; Searson, Sarah; Kandels-Lewis, Stefanie; Tara Oceans Consortium, Coordinators; Acinas, Silvia G; Bork, Peer; Boss, Emmanuel; De Vargas, Colomban; Gorsky, G; Ogata, Hiroyuki; Pesant, Stephane; Sullivan, Matthew B; Sunagawa, Shinichi; Wincker, Patrick; Karsenti, Eric; Bowler, Chris; Not, Fabrice; Hingamp, Pascal; Iudicone, Daniele (2015): Environmental characteristics of Agulhas rings affect interocean plankton transport. Science, 348(6237), 1261447-1261447, https://doi.org/10.1126/science.1261447
Project(s):	Fondation Tara Expeditions (FondTara) (URI: https://fondationtaraocean.org/en/home/)
	Tara Oceans Expedition (Tara_Oceans_2009-2013) (URI: https://fondationtaraocean.org/en/expedition/tara-oceans/)
