lat;long;depth_m;times;name;country;ref
43.09328;5.92539;2;2022;Toulon_grande_digue;France;Javel et al., in prep
43.74442;7.43292;2;2022;Monaco_Larvotto;France;Javel et al., in prep
42.49932;3.13788;19;2022;Banyuls_Oulestrell;France;Conté, 2022
42.47934;3.15767;23;2022;Banyuls_Abeille;France;Conté, 2022
43.56694;10.30806;13;2019;Livorno_commercial;Italy;Tempesti et al., 2022
43.54917;10.30139;8;2019;Livorno_touristic;Italy;Tempesti et al., 2022
43.54722;10.29944;5;2019;Antignano;Italy;Tempesti et al., 2022
43.67806;10.27194;5;2019;Marina_di_Pisa;Italy;Tempesti et al., 2022
42.71028;9.46056;12;2019;Bastia_commercial;France;Tempesti et al., 2022
42.69528;9.45028;6;2019;Bastia_touristic;France;Tempesti et al., 2022
42.70833;9.45472;5;2019;Toga;France;Tempesti et al., 2022
42.95972;9.45389;5;2019;Macinaggio;France;Tempesti et al., 2022
40.92583;9.53444;16;2019;Olbia_commercial;Italy;Tempesti et al., 2022
40.9225;9.50944;6;2019;Olbia_touristic;Italy;Tempesti et al., 2022
40.90778;9.58111;5;2019;Golfo_Aranci;Italy;Tempesti et al., 2022
41.02917;9.54444;6;2019;Porto_Rotondo;Italy;Tempesti et al., 2022
38.339;0.4799;;2016;Alicante_marina;Spain;Ulman et al., 2017
41.376;2.187;;2016;Port_Vell;Spain;Ulman et al., 2017
43.281;3.501;;2015;Port_Agde;France;Ulman et al., 2017
43.557;4.082;;2016;Port_Grande_Motte;France;Ulman et al., 2017
43.515;4.132;;2015;Port_Camargue_Marina;France;Ulman et al., 2017
43.278;6.637;;2016;Saint_Tropez;France;Ulman et al., 2017
43.065;6.586;;2016;Cogolin;France;Ulman et al., 2017
43.307;6.638;;2016;Sainte_Maxime;France;Ulman et al., 2017
43.54;7.032;;2015;Cannes_vieux_port;France;Ulman et al., 2017
43.585;7.127;;2015;Port_Vauban;France;Ulman et al., 2017
43.698;7.307;;2016;Villefranche_sur_mer;France;Ulman et al., 2017
41.737;12.25;;2015;Porto_Turistico_Roma;Italy;Ulman et al., 2017
40.748;13.906;;2015;Casamicciola_marina;Italy;Ulman et al., 2017
40.695;13.893;;2015;SantAngelo_marina;Italy;Ulman et al., 2017
40.743;13.939;;2015;Porto_Ischia;Italy;Ulman et al., 2017
40.629;14.375;;2015;Sorrento_piccola_marina;Italy;Ulman et al., 2017
38.142;13.37;;2016;Villa_Igea_marina;Italy;Ulman et al., 2017
38.12;13.368;;2016;Porto_La_Cala;Italy;Ulman et al., 2017
37.732;15.208;;2016;Porto_dell_Etna;Italy;Ulman et al., 2017
37.063;15.284;;2016;Siracusa_Porto_Grande;Italy;Ulman et al., 2017
36.733;15.119;;2016;Marzamemi_marina;Italy;Ulman et al., 2017
36.781;14.546;;2016;Ragusa_marina;Italy;Ulman et al., 2017
37.097;13.943;;2016;Licata_Cala_Sole_marina;Italy;Ulman et al., 2017
35.896;14.493;;2016;Msida_marina;Malta;Ulman et al., 2017
35.89;14.523;;2016;Valletta_grand_harbor_marina;Malta;Ulman et al., 2017
35.543;25.136;;2015;Heraklion_venetian_harbor;Greece;Ulman et al., 2017
35.187;25.136;;2015;Agios_Nikolaos_marina;Greece;Ulman et al., 2017
